,ジャンル,単語,拼音,日本語訳,補足説明,例文,例文の修正案
171,日常会話・雑談,死皮赖脸,sǐ pí lài liǎn,しつこくまとわりつく,しつこくついて回る様子。,死皮赖脸地跟着，烦死了。/ しつこくまとわりついて、うんざりする。,
172,日常会話・雑談,拉不下脸,lā bu xià liǎn,恥ずかしくてできない,プライドや恥ずかしさで行動できないとき。,想道歉，但拉不下脸。/ 謝りたいけど、恥ずかしくてできない。,
173,日常会話・雑談,放得开,fàng de kāi,気にしない・気楽にできる,恥ずかしがらず自由にできる人。,她很放得开，什么都敢做。/ 彼女は気にしなくて、何でもできる。,
174,日常会話・雑談,放不开,fàng bu kāi,気にしすぎる・ぎこちない,恥ずかしがりで自由にできない人。,在人前放不开，好害羞。/ 人前で気にしすぎて、すごく恥ずかしい。,
175,日常会話・雑談,无所不谈,wú suǒ bù tán,何でも話せる,お互いに何でも話せる親密な関係。,我们无所不谈，很放心。/ 私たちは何でも話せて、安心できる。,
176,日常会話・雑談,说着说着,shuō zhe shuō zhe,話してるうちに,会話が進む中で何かが変わるときの表現。,说着说着就吵起来了。/ 話してるうちにケンカになった。,
177,日常会話・雑談,越说越远,yuè shuō yuè yuǎn,話せば話すほど脱線する,話が本題からどんどん外れていくとき。,越说越远，回到正题吧。/ 話せば話すほど脱線する、本題に戻ろう。,
178,日常会話・雑談,笑不活了,xiào bu huó le,笑い死にそう,「笑死」より新しい表現。,这个笑不活了，太好笑了。/ これ笑い死にそう、面白すぎ。,
179,日常会話・雑談,我真的会谢,wǒ zhēn de huì xiè,もう呆れて言葉もない,皮肉っぽい諦め表現。,你又这样，我真的会谢。/ またこれか、もう呆れて言葉もない。,
180,日常会話・雑談,给我整无语了,gěi wǒ zhěng wúyǔ le,呆れさせられた,受動的な呆れ。「我无语了」より強い。,这操作给我整无语了。/ このやり方に呆れさせられた。,
181,日常会話・雑談,我裂开了,wǒ liè kāi le,やばすぎて心が引き裂かれた,衝撃・笑い両方に使う。,看到这个，我裂开了。/ これを見て、心が引き裂かれた。,
182,日常会話・雑談,我直接好了,wǒ zhíjiē hǎo le,もういい・これで十分（皮肉）,呆れや諦めのリアクション。,你这样我直接好了，不说了。/ こうされたらもういい、言わない。,
183,日常会話・雑談,好家伙,hǎo jiāhuo,なんてこった・マジか,驚きの感嘆詞。,好家伙，这也太猛了。/ なんてこった、これはすごすぎる。,
184,日常会話・雑談,我的哥,wǒ de gē,おいおい・マジかよ,呆れや驚きの感嘆詞。,我的哥，你怎么能这样。/ おいおい、なんでそんなことするの。,
185,日常会話・雑談,我的个乖乖,wǒ de gè guāiguāi,うわびっくり,北方の驚き感嘆表現。,我的个乖乖，这也能发生？/ うわびっくり、これが起きるの？,
186,日常会話・雑談,草,cǎo,うわ・くそ,「卧槽」の略。SNSで多用。,草，这也太搞笑了。/ うわ、面白すぎる。,
187,日常会話・雑談,我超,wǒ chāo,うわ・マジか,「卧槽」の言い換え。,我超，居然是真的。/ うわ、まさか本当だったとは。,
188,日常会話・雑談,栓Q,shuān Q,はいはい・お疲れ様（棒読み）,「thank you」の音訳。皮肉や流し。,栓Q，你真的太厉害了（棒）。/ はいはい、あなたって本当にすごいですね（棒読み）。,
189,日常会話・雑談,典,diǎn,典型的すぎる・あるある,「典中典」の略。,典，每次都这样。/ あるある、毎回こうなる。,
190,日常会話・雑談,典中典,diǎn zhōng diǎn,典型中の典型・ネタの王道,ネットのあるあるネタに使う。,典中典，这个梗太熟了。/ 典型中の典型、このネタ使い古されすぎ。,
191,日常会話・雑談,乐了,lè le,笑った・草,SNSで「笑」の代わりに使う。,乐了，这什么操作。/ 笑った、なんのやり方これ。,
192,日常会話・雑談,乐死了,lè sǐ le,笑い死んだ,「哈哈哈」より新しい表現。,乐死了，这个太绝了。/ 笑い死んだ、これ最高すぎる。,
193,日常会話・雑談,太有了,tài yǒu le,あるある・リアルすぎる,共感の新しい表現。,太有了，我也是这样。/ あるある、私もそう。,
194,日常会話・雑談,有被笑到,yǒu bèi xiào dào,笑わされた,受動的な笑いの表現。,有被笑到，太好笑了。/ 笑わされた、面白すぎる。,
195,日常会話・雑談,有被感动到,yǒu bèi gǎndòng dào,感動させられた,受動的な感動表現。,有被感动到，谢谢你。/ 感動させられた、ありがとう。,
196,日常会話・雑談,有被吓到,yǒu bèi xià dào,びっくりさせられた,受動的な驚き表現。,有被吓到，突然这样。/ びっくりさせられた、突然こんなことして。,
197,日常会話・雑談,开始了,kāishǐ le,またはじまった・お決まりのパターン,呆れ気味のリアクション。,又开始了，每次都这样。/ またはじまった、毎回こうなる。,
198,日常会話・雑談,来了来了,lái le lái le,きたきた・またか,予想通りの展開に使う。,来了来了，果然说这个。/ きたきた、やっぱりこれを言い出した。,
199,日常会話・雑談,离大谱了,lí dà pǔ le,常識外れすぎる・ありえない,驚きや呆れの強い表現。,这操作离大谱了，怎么能这样。/ このやり方は常識外れすぎる、なんでこうなるの。,
200,日常会話・雑談,离谱,lí pǔ,ありえない・常識外れ,「离大谱」の略形。,这也太离谱了吧。/ これはありえなすぎる。,
201,日常会話・雑談,纯纯的,chún chún de,完全に〜・まさに〜,強調の口語表現。,纯纯的在开玩笑，别当真。/ 完全に冗談だから、本気にしないで。,
202,日常会話・雑談,纯纯傻子,chún chún shǎzi,完全にバカ・救いようがない,自虐やツッコミで使う。,我纯纯傻子，怎么会信他。/ 私って完全にバカ、なんで信じたんだろ。,
203,日常会話・雑談,抽象,chōuxiàng,カオス・意味不明,理解不能な状況に使う新用法。,这人太抽象了，搞不懂。/ この人カオスすぎて、理解できない。,
204,日常会話・雑談,太抽象了,tài chōuxiàng le,カオスすぎる,「抽象」の強調形。,今天发生的事太抽象了。/ 今日起きたこと、カオスすぎる。,
205,日常会話・雑談,神金,shén jīn,カオス・意味不明（若者語）,「神经」の変形スラング。,这人好神金，说什么都不正常。/ この人カオスすぎ、何を言っても普通じゃない。,
206,日常会話・雑談,鬼知道,guǐ zhīdào,知るか・誰にもわからない,「わからない」の強調表現。,鬼知道他怎么想的。/ 誰が知るか、彼が何を考えてるか。,
207,日常会話・雑談,天知道,tiān zhīdào,神のみぞ知る,「鬼知道」より少し丁寧。,天知道这会怎么样。/ 神のみぞ知る、これがどうなるか。,
208,日常会話・雑談,关我什么事,guān wǒ shénme shì,私には関係ない,突き放した表現。,关我什么事，你自己决定。/ 私には関係ない、自分で決めて。,
209,日常会話・雑談,关你什么事,guān nǐ shénme shì,あなたには関係ない,少し強めの表現。,关你什么事，少管闲事。/ あなたには関係ない、余計なお世話。,
210,日常会話・雑談,就你事多,jiù nǐ shì duō,あなただけがうるさい,文句が多い人へのツッコミ。,就你事多，能不能安静点。/ あなただけがうるさい、少し静かにできない？,
211,日常会話・雑談,就你能,jiù nǐ néng,あなただけが偉いの？,皮肉っぽいツッコミ。,就你能，行行行。/ あなただけが偉いんだね、はいはいはい。,
212,日常会話・雑談,行你最牛,xíng nǐ zuì niú,はいはいあなたが一番すごい,皮肉の同意表現。,行你最牛，我不如你。/ はいはいあなたが一番すごい、私には敵わない。,
213,日常会話・雑談,爱咋咋地,ài zǎ zǎ de,勝手にすれば・知らない,完全に諦めた表現。,爱咋咋地，我不管了。/ 勝手にすれば、もう知らない。,
214,感情表現,烦死了,fán sǐ le,うんざりしすぎて死にそう,強い不満の誇張表現。,烦死了，能不能安静一下。/ うんざり、少し静かにできない？,
215,感情表現,气死我了,qì sǐ wǒ le,もう最高にムカつく,怒りの定番誇張表現。,气死我了，他怎么这样！/ もう最高にムカつく、なんであいつそんなことするの！,
216,感情表現,崩溃,bēngkuì,もう限界・メルトダウン,精神的に限界な状態。,作业太多了，我崩溃了。/ 宿題多すぎて、もう限界。,
217,感情表現,破防了,pòfáng le,感情が崩れた・泣いた,感動や衝撃でメンタルに来たとき。,看到这个视频，我破防了。/ この動画見て、泣いた。,
218,感情表現,麻了,má le,マジかよ・呆然,驚きや諦めで感覚が麻痺した感じ。,又加班，我麻了。/ また残業、もう何も感じない。,
219,感情表現,绷不住,běng bu zhù,笑いをこらえられない,面白くて笑いが止まらないとき。,绷不住了，太好笑了。/ 笑いをこらえられない、面白すぎる。,
220,感情表現,爽,shuǎng,最高・気持ちいい,食事・天気・達成感など広く使う。,洗了个澡，好爽！/ シャワー浴びた、最高！,
221,感情表現,爽到,shuǎng dào,〜が最高すぎる,「爽」の程度を強調した表現。,这个按摩爽到飞起。/ このマッサージ最高すぎる。,
222,感情表現,郁闷,yùmèn,もやもや・鬱々している,晴れない気分のときの表現。,发生了点事，有点郁闷。/ ちょっとあって、もやもやしてる。,
223,感情表現,纠结,jiūjié,悩む・迷う,決められなくて葛藤しているとき。,去还是不去，好纠结。/ 行くか行かないか、すごく迷う。,
224,感情表現,尴尬,gāngà,気まずい・ぎこちない,社会的に恥ずかしい状況。,当场出错，好尴尬。/ その場でミスして、気まずかった。,
225,感情表現,社恐,shè kǒng,社会不安・人見知り,「社交恐惧症」の略。,我有点社恐，不太会主动说话。/ 少し人見知りで、自分から話しかけるのが苦手。,
226,感情表現,社牛,shè niú,コミュ力おばけ・社交の達人,「社交牛逼症」の略。,他是社牛，谁都能聊。/ 彼はコミュ力おばけ、誰とでも話せる。,
227,感情表現,慌了,huāng le,焦った・パニックになった,急に慌てたときの表現。,找不到钱包，我慌了。/ 財布が見つからなくて焦った。,
228,感情表現,怕了,pà le,怖くなった・ビビった,恐れを感じたときの表現。,太厉害了，我怕了。/ すごすぎて、ビビった。,
229,感情表現,虚了,xū le,気が抜けた・怖気づいた,自信を失ったり緊張したりするとき。,面试前，我有点虚了。/ 面接前、ちょっと気が抜けた。,
230,感情表現,懵了,měng le,ぽかーんとした・頭が真っ白,突然のことで理解が追いつかないとき。,他突然说分手，我懵了。/ 彼が突然別れると言って、頭が真っ白になった。,
231,感情表現,懵圈了,měng quān le,完全に頭が真っ白,「懵了」より強い混乱状態。,这题太难了，我懵圈了。/ この問題難しすぎて、完全にわからなくなった。,
232,感情表現,笑哭了,xiào kū le,笑いすぎて泣いた,面白すぎるときの誇張表現。,你这个太搞笑了，我笑哭了。/ これ面白すぎ、笑いすぎて泣いた。,
233,感情表現,不爽,bù shuǎng,気分悪い・イライラする,「爽」の否定形。不快感を表す。,今天一直不爽，什么事都不顺。/ 今日ずっと気分悪い、何もうまくいかない。,
234,感情表現,闹心,nào xīn,気が重い・ウンザリする,北方方言。心が騒がしい状態。,这件事太闹心了。/ この件、本当に気が重い。,
235,感情表現,窝火,wō huǒ,腹が立つのに言えない,怒りを発散できない状態。,被骂了还没法还嘴，好窝火。/ 怒られてもやり返せなくて、悔しい。,
236,感情表現,不是滋味,bú shì zīwèi,なんとも言えない気持ち・複雑,良い感情でも悪い感情でもない複雑な心境。,听到他说那句话，心里不是滋味。/ 彼のその言葉を聞いて、なんとも言えない気持ちになった。,
237,感情表現,五味杂陈,wǔ wèi zá chén,複雑な感情が入り混じる,喜怒哀楽が混在する複雑な心境。,毕业的时候，五味杂陈。/ 卒業のとき、複雑な気持ちだった。,
238,感情表現,百感交集,bǎi gǎn jiāo jí,千の感情が交差する,多くの感情が一度に押し寄せるとき。,看到老朋友，百感交集。/ 旧友に会って、色々な感情が込み上げてきた。,
239,感情表現,喜忧参半,xǐ yōu cān bàn,喜びと不安が半々,良いことと悪いことが同時にあるとき。,升职了但要出差，喜忧参半。/ 昇進したけど出張もある、喜びと不安が半々。,
240,感情表現,受不了,shòu bu liǎo,我慢できない・限界,限界を超えたときの表現。,这味道受不了。/ この匂いは我慢できない。,
241,感情表現,忍不住,rěn bu zhù,我慢できない・こらえられない,感情や行動を抑えられないとき。,忍不住笑了出来。/ 笑いをこらえられなかった。,
242,感情表現,憋不住,biē bu zhù,もう抑えられない,言いたいことや感情が抑えられない。,憋不住了，我要说。/ もう抑えられない、言う。,
243,感情表現,累成狗了,lèi chéng gǒu le,犬みたいにヘトヘト,極度の疲労の誇張表現。,干了一天，累成狗了。/ 一日働いて、ヘトヘト。,
244,感情表現,累到不行,lèi dào bù xíng,疲れすぎてもう無理,限界の疲労状態。,今天累到不行，快躺了。/ 今日疲れすぎてもう無理、早く横になりたい。,
245,感情表現,整个人都不好了,zhěng ge rén dōu bù hǎo le,もう全部ダメ・心も体もダメ,心身ともに限界のときの誇張表現。,熬夜之后，整个人都不好了。/ 徹夜した後、もう全部ダメ。,
246,感情表現,人傻了,rén shǎ le,頭がボーッとする・呆然,疲れや驚きで思考力がなくなった状態。,这消息太震惊，人傻了。/ このニュース衝撃すぎて、頭が真っ白。,
247,感情表現,蚌埠住了,bàng bù zhù le,笑いをこらえられない（ネット）,「绷不住了」の当て字。ネットスラング。,蚌埠住了，这也太好笑了吧。/ 笑いをこらえられない、これ面白すぎ。,
248,感情表現,泪目,lèi mù,目に涙が浮かんだ,感動で目が潤んだときの表現。,看到这一幕，瞬间泪目。/ このシーンを見た瞬間、目に涙が浮かんだ。,
249,感情表現,破大防,pò dà fáng,強固な感情の壁が崩れた,「破防了」の強調版。,这个视频把我整破大防了。/ この動画で完全にやられた。,
250,感情表現,太上头了,tài shàng tóu le,ハマりすぎ・頭から離れない,何かに夢中になっているとき。,这首歌太上头了，一直循环。/ この曲ハマりすぎ、ずっとリピートしてる。,
251,感情表現,上头,shàng tóu,ハマる・テンションが上がる,興奮して冷静さを失う状態。,喝了酒有点上头。/ お酒飲んでちょっとテンション上がった。,
252,感情表現,好爽,hǎo shuǎng,最高・超気持ちいい,「爽」の強調形。,终于说出来了，好爽！/ やっと言えた、最高！,
253,感情表現,太好了,tài hǎo le,よかった・最高,嬉しいニュースへのリアクション。,太好了，你来了！/ よかった、来てくれたんだ！,
254,感情表現,感激,gǎnjī,感謝している・ありがたい,「谢谢」より深い感謝の気持ち。,你帮了我这么多，真的很感激。/ こんなに助けてくれて、本当にありがたい。,
255,感情表現,不知道该说什么,bù zhīdào gāi shuō shénme,何て言えばいいかわからない,言葉に詰まったときの表現。,太感动了，不知道该说什么。/ 感動しすぎて、何て言えばいいかわからない。,
256,感情表現,我无语了,wǒ wúyǔ le,もう言葉がない,「无语」を強調した表現。,我无语了，这也能发生？/ もう言葉がない、これが起きるの？,
257,感情表現,不可思议,bù kě sīyì,信じられない・不思議すぎる,理解を超えた出来事への反応。,真的不可思议，怎么做到的。/ 本当に信じられない、どうやったの。,
258,感情表現,无法理解,wúfǎ lǐjiě,理解できない,理解が追いつかないときの表現。,他的行为我无法理解。/ 彼の行動が理解できない。,
259,感情表現,莫名其妙,mò míng qí miào,わけがわからない・意味不明,理由や意図がわからないとき。,莫名其妙就被骂了。/ わけもわからず怒られた。,
260,感情表現,难绷,nán běng,笑えないのに笑える,「绷不住」と近いが微妙に異なる。,这也太难绷了，笑死。/ 笑えないのに笑える、笑い死ぬ。,
261,感情表現,破防,pòfáng,感情が崩れる（動詞）,「破防了」の動詞形。,这首歌真的破防，太好听了。/ この曲本当に感情が崩れる、良すぎる。,
262,感情表現,整绷了,zhěng běng le,完全にやられた,笑いや衝撃で完全に崩れたとき。,这一段整绷了，笑不停。/ この部分で完全にやられた、笑いが止まらない。,
263,感情表現,绷住,běng zhù,こらえる・耐える,笑いや感情を必死に抑えるとき。,努力绷住，别在这里笑出来。/ 必死にこらえて、ここで笑いが出ないようにして。,
264,感情表現,酸了,suān le,嫉妬した・羨ましい,他人が羨ましいときの表現。,看到他们秀恩爱，酸了。/ あいつらのイチャイチャを見て、嫉妬した。,
265,感情表現,柠檬精,níngméng jīng,嫉妬深い人・やっかみ屋,レモンのように酸っぱい（嫉妬心が強い）人。,她是柠檬精，看到别人好就嫉妒。/ 彼女はやっかみ屋で、他人が良いと嫉妬する。,
266,感情表現,憋屈,biēqu,やりきれない・納得できない,「委屈」より強い抑圧感。,说不出来，就是好憋屈。/ 言えないけど、やりきれない。,
267,感情表現,委屈,wěiqu,理不尽でつらい・悔しい,不当な扱いを受けたときの感情。,明明我没错，好委屈。/ 私は悪くないのに、悔しい。,
268,人間関係,搭子,dā zi,特定活動の相棒・バディ,「饭搭子」=ご飯仲間。「游戏搭子」=ゲーム相手。,你是我的饭搭子。/ 君は私のご飯仲間だ。,
269,人間関係,姐妹,jiěmèi,女友達・仲良し,女性同士の呼びかけ。「みんな！」の意味も。,姐妹们，周末去哪玩？/ みんな、週末どこ行く？,
270,人間関係,兄弟,xiōngdì,男友達・仲間,男性同士の親しい呼びかけ。,兄弟，你还好吗？/ 友達、大丈夫？,
271,人間関係,老铁,lǎotiě,親友・相棒,東北方言で鉄の兄弟、つまり固い友情。,老铁，支持你！/ 相棒、応援してるよ！,
272,人間関係,死党,sǐdǎng,親友・一生の友,死ぬまで一緒という強い友情を表す。,她是我死党，什么都告诉她。/ 彼女は親友で、何でも話す。,
273,人間関係,闺蜜,guīmì,女性の親友,女性同士の最も親しい友人関係。,我闺蜜知道我所有秘密。/ 親友は私の秘密を全部知ってる。,
274,人間関係,铁磁,tiě cí,鉄の友情・最高の親友,「老铁」と同じ意味で更に強い友情表現。,我们是铁磁，谁都离不开谁。/ 俺たちは鉄の友情、離れられない。,
275,人間関係,塑料兄弟情,sùliào xiōngdì qíng,薄い友情・表面だけの仲間,プラスチックのような脆い友情を指す皮肉表現。,他们就是塑料兄弟情，一有事就跑。/ あいつら薄い友情で、何かあったらすぐ逃げる。,
276,人間関係,绿茶,lǜchá,ぶりっこ・裏表ある女,表は清純で実は計算高い女性を指す。,她是绿茶，当心点。/ 彼女は裏表あるタイプ、気をつけて。,
277,人間関係,白莲花,báilián huā,清純ぶる人・聖人ぶる人,表向き無邪気で純粋に見えるが裏がある人。,她装白莲花，其实心机很深。/ 彼女は清純ぶってるけど、実はすごく計算高い。,
278,人間関係,心机,xīnjī,計算高い・腹黒い,裏で計算しながら行動する性格。,她心机很重，说话要小心。/ 彼女は計算高い、話し方に気をつけて。,
279,人間関係,舔狗,tiǎn gǒu,ぞっこんな人・追いかける人,一方的に尽くす人。自虐でも使う。,我就是个舔狗，知道没戏还是喜欢她。/ 私は追いかけるだけの存在、わかってても好きだ。,我就是个舔狗，知道没戏还是喜欢她。/ 私は追いかけるだけの存在、わかってても好きだ。
280,人間関係,工具人,gōngjù rén,便利屋・都合よく使われる人,利用されているだけの関係にある人。,我不想当他的工具人了。/ もう彼の便利屋はやめたい。,
281,人間関係,备胎,bèitāi,キープ・スペアタイヤ,本命の代わりに置かれている人。,我发现我只是他的备胎。/ 私は彼のキープだとわかった。,
282,人間関係,渣男,zhā nán,クズ男・最低な男,複数の女性を弄ぶ男や誠実でない男。,小心那个渣男，他到处撩妹。/ あのクズ男に気をつけて、いろんな女を口説いてる。,
283,人間関係,渣女,zhā nǚ,クズ女・最低な女,「渣男」の女性版。,她就是个渣女，劝你别喜欢她。/ 彼女はクズ女、好きにならない方がいい。,
284,人間関係,烂人,làn rén,ダメ人間・クズ人間,人格的に問題がある人への呼び方。,他就是个烂人，别理他了。/ あいつはクズ、無視しな。,
285,人間関係,小人,xiǎorén,小人・卑劣な人,信頼できない卑劣な人を指す伝統的表現。,防君子不防小人，小心。/ 君子より小人に気をつけなきゃ。,
286,人間関係,翻脸,fān liǎn,手のひらを返す・急変する,急に態度が変わること。,他说翻脸就翻脸，太可怕了。/ 彼はすぐ態度が変わる、怖い。,
287,人間関係,闹翻,nào fān,仲が壊れる・喧嘩別れ,関係が悪化して壊れること。,他们两个闹翻了，不说话了。/ あの二人は仲が壊れて、口を聞かなくなった。,
288,人間関係,冷战,lěng zhàn,冷戦・無視し合い,喧嘩後に口を聞かない状態。,他们在冷战，都不说话。/ 彼らは冷戦中で、誰も話さない。,
289,人間関係,拉黑,lāhēi,ブロックする,SNSや連絡先をブロックすること。,她把他拉黑了。/ 彼女は彼をブロックした。,
290,人間関係,已读,yǐ dú,既読,メッセージが読まれた状態。,发了消息，显示已读了。/ メッセージ送ったら、既読になった。,
291,人間関係,秒回,miǎo huí,秒で返信する,すぐに返信すること。,他总是秒回，很在意她。/ 彼はいつも秒で返す、彼女のことが気になってる。,
292,人間関係,单方面绝交,dān fāngmiàn juéjiāo,一方的に縁を切る,相手の同意なしに関係を断つこと。,我单方面宣布和他绝交了。/ 一方的に彼との縁を切ることを宣言した。,
293,人間関係,绝交,juéjiāo,縁を切る・絶交する,関係を完全に終わらせること。,我们绝交吧，没必要继续了。/ 絶交しよう、続ける意味がない。,
294,人間関係,和好,héhǎo,仲直りする,喧嘩した後に関係を修復すること。,他们终于和好了。/ 彼らはやっと仲直りした。,
295,人間関係,化干戈为玉帛,huà gāngē wéi yùbó,争いを友好に変える,対立関係を友好関係に変えること。,能化干戈为玉帛最好。/ 争いを友好に変えられるなら一番いい。,
296,人間関係,一刀两断,yī dāo liǎng duàn,スパッと縁を切る,きっぱりと関係を断ち切ること。,已经一刀两断了，不回头。/ きっぱり縁を切った、振り返らない。,
297,人間関係,藕断丝连,ǒu duàn sī lián,断ち切れているようで繋がっている,別れても心の繋がりが残っている関係。,分手了还联系，藕断丝连的。/ 別れても連絡してる、断ち切れてない。,
298,人間関係,牵绊,qiānbàn,絆・しがらみ,離れられない繋がりや縁。,我们之间的牵绊太深了。/ 私たちの絆は深すぎる。,
299,人間関係,有缘无分,yǒu yuán wú fèn,縁はあるが結ばれない運命,出会えても一緒になれない悲しい関係。,我们有缘无分，注定不能在一起。/ 縁はあるけど結ばれない運命、一緒になれない。,
300,人間関係,相爱相杀,xiāng ài xiāng shā,愛憎関係・好き嫌いが混在,お互いに惹かれながら傷つけ合う関係。,他们就是相爱相杀的关系。/ 彼らはまさに愛憎関係だ。,
301,人間関係,互相成就,hùxiāng chéngjiù,お互いを高め合う,良い影響を与え合う関係。,好的朋友互相成就。/ 良い友達はお互いを高め合う。,
302,人間関係,损友,sǔn yǒu,毒友・悪影響な友達,悪い影響を与える友人。,他是我损友，把我带坏了。/ 彼は毒友で、私を悪くした。,
303,人間関係,益友,yì yǒu,良い影響を与える友人,「损友」の対義語。,交益友，少交损友。/ 良い友達と付き合い、毒友は避けよう。,
304,人間関係,同频,tóngpín,波長が合う・シンクロする,考え方や感覚が合っていること。,我们特别同频，什么都能聊。/ 私たちは波長が合って、何でも話せる。,
305,人間関係,合拍,hépāi,気が合う・ウマが合う,リズムや感覚が合っていること。,他们俩合拍，相处很好。/ あの二人は気が合って、仲良くやってる。,
306,人間関係,话不投机,huà bù tóujī,話が合わない,会話が噛み合わない関係。,和他话不投机，不想聊。/ 彼とは話が合わない、話したくない。,
307,人間関係,尬聊,gà liáo,気まずいトーク・会話が続かない,盛り上がらない気まずい会話。,尬聊了半天，冷场了。/ 気まずいトークが続いて、場が冷えた。,
308,人間関係,冷场,lěng chǎng,場が盛り下がる・シーンとする,会話や場が凍りつくこと。,他讲了个笑话，结果冷场了。/ 彼がジョークを言ったら、場がシーンとした。,
309,人間関係,气氛组,qìfēn zǔ,場を盛り上げる役・盛り上げ隊,雰囲気を作る人たち。,她是气氛组的，哪里都活跃。/ 彼女は場を盛り上げる役で、どこでも元気。,
310,人間関係,暖男,nuǎn nán,優しい男・温かい男性,細やかな気遣いができる男性。,他是个暖男，总是体贴人。/ 彼は優しい男で、いつも気遣いできる。,
311,人間関係,贴心,tiēxīn,心が通じている・親切,心から気遣ってくれる様子。,他好贴心，一直帮我。/ 彼は本当に親切で、ずっと助けてくれる。,
312,人間関係,戳中泪点,chuō zhōng lèidiǎn,涙腺を刺激する,感動で泪が出るポイントを突かれること。,这段话戳中了我的泪点。/ この言葉が涙腺を刺激した。,
313,人間関係,破冰,pò bīng,アイスブレイク・緊張をほぐす,初対面の緊張をほぐすこと。,来个破冰游戏吧。/ アイスブレイクゲームをしよう。,
314,人間関係,拿捏,ná niē,完全に把握する・コントロールする,相手の心理や状況を完全に掌握すること。,他把她拿捏得死死的。/ 彼は彼女を完全にコントロールしている。,
315,人間関係,PUA,pī yǒu ēi,精神的支配・マインドコントロール,相手の自尊心を操る行為。,他一直PUA她，让她觉得没有他不行。/ 彼はずっと彼女を精神的に支配して、自分なしでは無理だと思わせた。,
316,人間関係,吃瓜,chī guā,野次馬・傍観者として楽しむ,他人のゴシップを楽しむこと。,我就负责吃瓜，你们慢慢说。/ 私は野次馬役、あなたたちが話して。,
317,人間関係,吃瓜群众,chī guā qúnzhòng,野次馬集団,ゴシップを楽しむ一般大衆。,吃瓜群众都在等结果。/ 野次馬たちが結果を待ってる。,
318,人間関係,看热闹,kàn rènào,野次馬・騒ぎを楽しむ,他人のトラブルを傍観して楽しむこと。,他们在看热闹，没人管。/ みんな野次馬で、誰も関与しない。,
319,人間関係,不怕事大,bú pà shì dà,騒ぎが大きくなっても構わない,野次馬が煽るときのニュアンス。,看热闹的不怕事大。/ 野次馬は騒ぎが大きくなっても構わない。,
320,人間関係,八卦,bāguà,ゴシップ・噂話,他人のプライベートな話題を楽しむこと。,你听说了吗，来八卦一下。/ 聞いた？ちょっとゴシップしよう。,
321,人間関係,扒皮,bā pí,暴露する・スキャンダルを掘る,他人の秘密や問題を暴き出すこと。,网友开始扒皮他的黑历史了。/ ネットユーザーが彼の黒歴史を暴き始めた。,
322,人間関係,黑历史,hēi lìshǐ,黒歴史・恥ずかしい過去,隠したい過去の出来事。,那是我的黑历史，别提了。/ それは私の黒歴史、言わないで。,
323,人間関係,翻旧账,fān jiù zhàng,昔のことを蒸し返す,過去の問題を再び持ち出すこと。,别翻旧账了，都过去了。/ 昔のことを蒸し返さないで、もう過去のことだ。,
324,人間関係,记仇,jì chóu,根に持つ・恨みを忘れない,ずっと根に持つ性格。,她很记仇，三年前的事还记着。/ 彼女は根に持ちやすく、三年前のことも覚えてる。,
325,人間関係,小气,xiǎoqì,ケチ・器が小さい,お金や気持ちに余裕がない様子。,他很小气，请客都不舍得。/ 彼はケチで、おごることも惜しむ。,
326,人間関係,大方,dàfāng,気前がいい・太っ腹,「小气」の対義語。,她很大方，每次都请客。/ 彼女は気前がいい、いつもおごってくれる。,
327,人間関係,够义气,gòu yìqì,義理堅い・仁義がある,友達のために動ける人を指す表現。,他够义气，有难必帮。/ 彼は義理堅い、困ったら必ず助けてくれる。,
328,人間関係,不够意思,bú gòu yìsi,義理がない・冷たい,友人として期待に応えない行動。,你这样做，真的不够意思。/ そんなことするなんて、本当に冷たい。,
329,人間関係,够朋友,gòu péngyou,友達らしい・義理がある,真の友人としての行動を示すとき。,你这样帮我，真的够朋友。/ こうして助けてくれて、本当に友達だ。,
330,人間関係,认识,rènshi,知り合い・顔見知り,知り合いの関係を表す基本表現。,我们认识，但不太熟。/ 知り合いだけど、あまり親しくない。,
331,人間関係,不熟,bù shú,あまり親しくない,知り合いでも深い関係ではないとき。,我们不熟，就见过几次。/ あまり親しくなくて、数回会っただけ。,
332,人間関係,很熟,hěn shú,仲が良い・親しい,深い関係であることを示す表現。,我们很熟，什么都聊。/ 仲が良くて、何でも話す。,
333,人間関係,混熟了,hùn shú le,仲良くなった・馴染んだ,時間をかけて関係が深まったとき。,去了几次之后，就混熟了。/ 何度か行ったら、仲良くなった。,
334,人間関係,混个脸熟,hùn ge liǎn shú,顔を売る・顔見知りになる,関係を作るために存在を知ってもらうこと。,先去混个脸熟，之后再说。/ まず顔を売って、それから考えよう。,
335,人間関係,处得来,chǔ de lái,うまくやれる・気が合う,関係がうまくいくかどうかの表現。,我们处得来，相处很轻松。/ 私たちはうまくやれて、一緒にいると楽。,
336,人間関係,处不来,chǔ bu lái,うまくやれない・合わない,「处得来」の否定形。,和他处不来，性格不合。/ 彼とはうまくやれない、性格が合わない。,
337,人間関係,看对眼,kàn duì yǎn,一目惚れ・目が合う,一目で気に入ること。,他们俩第一次见面就看对眼了。/ あの二人は初対面で一目惚れした。,
338,人間関係,不对眼,bú duì yǎn,気が合わない・目が合わない,「看对眼」の否定形。,我和他不对眼，看他就烦。/ 彼とは気が合わない、見るだけでイライラする。,
